32 32
26 21 0
24 30 0
2 27 0
7 17 0
16 26 0
31 20 0
6 24 0
28 18 0
27 16 0
27 28 0
5 31 0
8 30 0
1 18 0
0 20 0
30 27 0
25 19 0
10 24 0
2 23 0
24 26 0
7 25 0
5 18 0
30 23 0
9 28 0
10 17 0
11 28 0
26 19 0
15 25 0
2 25 0
7 30 0
31 15 0
22 27 0
4 28 0
3 26 0
9 21 0
25 23 1
18 17 1
26 30 1
15 30 1
7 26 1
22 17 1
27 13 1
22 26 1
3 22 1
14 22 1
19 18 1
30 18 1
8 18 1
3 31 1
0 23 1
26 14 1
10 27 1
26 23 1
25 25 1
15 23 1
18 19 1
7 19 1
7 28 1
22 19 1
22 28 1
3 24 1
14 24 1
10 20 1
26 16 1
25 18 1
10 29 1
26 25 1
25 27 1
18 21 1
29 27 1
22 21 1
3 17 1
30 13 1
14 26 1
10 22 1
26 18 1
25 20 1
10 31 1
25 29 1
18 23 1
7 23 1
29 20 1
22 14 1
29 29 1
6 27 1
22 23 1
21 25 1
3 19 1
3 28 1
14 28 1
25 13 1
26 20 1
25 22 1
2 20 1
2 29 1
29 22 1
22 16 1
21 18 1
6 29 1
22 25 1
21 27 1
3 21 1
26 13 1
25 15 1
10 26 1
25 24 1
2 22 1
18 18 1
2 31 1
29 15 1
29 24 1
6 22 1
22 18 1
21 20 1
6 31 1
21 29 1
3 23 1
14 23 1
28 25 1
10 19 1
25 17 1
10 28 1
9 30 1
25 26 1
2 24 1
29 17 1
21 13 1
29 26 1
22 20 1
21 22 1
3 25 1
14 25 1
28 27 1
10 21 1
2 17 1
10 30 1
25 28 1
2 26 1
29 19 1
22 13 1
21 15 1
29 28 1
6 26 1
3 18 1
28 20 1
28 29 1
5 27 1
25 12 1
9 25 1
10 23 1
25 21 1
2 19 1
2 28 1
29 12 1
13 25 1
29 21 1
6 19 1
21 17 1
29 30 1
6 28 1
21 26 1
28 13 1
28 22 1
5 20 1
9 18 1
5 29 1
10 25 1
9 27 1
2 21 1
2 30 1
24 27 1
13 27 1
29 23 1
6 21 1
21 19 1
6 30 1
21 28 1
28 24 1
5 22 1
10 18 1
9 20 1
25 16 1
9 29 1
24 20 1
24 29 1
1 27 1
29 25 1
13 29 1
21 21 1
28 17 1
28 26 1
5 24 1
9 31 1
24 13 1
24 22 1
13 22 1
29 18 1
1 29 1
21 14 1
6 25 1
21 23 1
31 27 1
28 19 1
5 17 1
28 28 1
5 26 1
9 24 1
2 18 1
24 15 1
24 24 1
1 22 1
6 18 1
13 24 1
21 16 1
1 31 1
20 20 1
31 29 1
28 12 1
23 25 1
12 25 1
17 21 1
28 21 1
5 19 1
9 17 1
28 30 1
4 30 1
5 28 1
9 26 1
24 17 1
1 24 1
13 26 1
6 20 1
20 22 1
31 22 1
12 18 1
23 27 1
12 27 1
28 23 1
5 21 1
4 23 1
9 19 1
5 30 1
24 19 1
24 28 1
1 26 1
13 28 1
20 15 1
20 24 1
31 24 1
23 20 1
12 20 1
28 16 1
23 29 1
12 29 1
5 23 1
4 25 1
24 12 1
8 25 1
24 21 1
1 19 1
13 21 1
1 28 1
13 30 1
0 30 1
20 17 1
31 17 1
23 13 1
31 26 1
4 18 1
12 31 1
5 25 1
4 27 1
27 22 1
27 31 1
24 14 1
19 27 1
8 27 1
24 23 1
1 21 1
13 23 1
1 30 1
20 19 1
31 19 1
23 15 1
20 28 1
23 24 1
12 24 1
4 20 1
4 29 1
27 24 1
19 20 1
30 20 1
24 16 1
8 20 1
30 29 1
8 29 1
24 25 1
1 23 1
0 25 1
11 25 1
31 12 1
20 21 1
31 21 1
23 17 1
31 30 1
23 26 1
12 26 1
4 22 1
27 17 1
4 31 1
27 26 1
19 22 1
30 22 1
8 22 1
0 18 1
11 18 1
8 31 1
24 18 1
0 27 1
11 27 1
20 14 1
31 14 1
26 27 1
15 27 1
20 23 1
31 23 1
12 19 1
23 28 1
4 24 1
27 19 1
19 15 1
30 15 1
19 24 1
30 24 1
8 24 1
11 20 1
0 29 1
11 29 1
20 16 1
31 16 1
26 29 1
15 29 1
23 12 1
18 25 1
20 25 1
31 25 1
4 17 1
23 30 1
27 12 1
12 30 1
4 26 1
27 21 1
19 17 1
30 17 1
27 30 1
8 17 1
19 26 1
30 26 1
8 26 1
0 22 1
11 22 1
1 20 1
11 31 1
26 22 1
15 22 1
31 18 1
7 18 1
23 14 1
7 27 1
23 23 1
12 23 1
4 19 1
27 14 1
27 23 1
19 19 1
30 19 1
8 19 1
30 28 1
8 28 1
0 24 1
11 24 1
26 15 1
26 24 1
15 24 1
18 20 1
7 20 1
23 16 1
7 29 1
4 21 1
30 12 1
22 29 1
27 25 1
19 21 1
30 21 1
8 21 1
30 30 1
0 26 1
11 26 1
26 17 1
31 13 1
26 26 1
15 26 1
18 22 1
7 22 1
23 18 1
7 31 1
22 22 1
27 18 1
30 14 1
27 27 1
3 27 1
14 27 1
19 23 1
8 23 1
0 19 1
11 19 1
0 28 1
26 28 1
15 28 1
25 30 1
18 24 1
7 24 1
22 15 1
27 11 1
22 24 1
27 20 1
3 20 1
14 20 1
19 16 1
30 16 1
3 29 1
14 29 1
19 25 1
30 25 1
0 21 1
11 21 1
26 12 1
