xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
20,29,19,21,30,28,21,30,10.0,9,0.8889029026031494
19,21,20,29,21,30,30,28,10.0,9,0.8889029026031494
19,20,7,7,18,13,9,18,20.5,23,2.313232898712158
7,7,19,20,9,18,18,13,20.5,23,2.313232898712158
1,23,14,2,31,18,0,22,40.5,37,4.91753888130188
14,2,1,23,0,22,31,18,40.5,37,4.91753888130188
5,22,21,2,26,14,30,10,26.0,27,4.090548992156982
21,2,5,22,30,10,26,14,26.0,27,4.090548992156982
31,8,18,13,26,2,12,14,23.0,25,2.6602540016174316
18,13,31,8,12,14,26,2,23.0,25,2.6602540016174316
27,1,11,15,22,28,24,25,18.5,28,2.872729778289795
11,15,27,1,24,25,22,28,18.5,28,2.872729778289795
1,10,17,4,8,10,30,10,25.0,24,2.1272130012512207
17,4,1,10,30,10,8,10,25.0,24,2.1272130012512207
30,31,17,20,17,21,7,22,17.5,13,1.9407870769500732
17,20,30,31,7,22,17,21,17.5,13,1.9407870769500732
23,25,14,3,31,9,16,2,30.5,25,2.8551039695739746
14,3,23,25,16,2,31,9,30.5,25,2.8551039695739746
13,28,19,10,1,11,9,25,26.0,24,2.833134889602661
19,10,13,28,9,25,1,11,26.0,24,2.833134889602661
1,25,2,1,6,9,18,19,25.5,19,6.630894184112549
2,1,1,25,18,19,6,9,25.5,19,6.630894184112549
7,26,28,0,13,5,15,29,38.5,27,4.30057692527771
28,0,7,26,15,29,13,5,38.5,27,4.30057692527771
31,11,22,29,24,28,3,9,34.5,37,4.569960117340088
22,29,31,11,3,9,24,28,34.5,37,4.569960117340088
30,25,20,23,0,1,5,8,13.0,14,1.4828190803527832
20,23,30,25,5,8,0,1,13.0,14,1.4828190803527832
23,21,24,4,13,28,7,13,24.5,24,2.0921919345855713
24,4,23,21,7,13,13,28,24.5,24,2.0921919345855713
27,20,30,9,18,9,15,5,11.5,11,1.5265178680419922
30,9,27,20,15,5,18,9,11.5,11,1.5265178680419922
15,9,13,20,25,28,4,12,27.0,23,8.36598825454712
13,20,15,9,4,12,25,28,27.0,23,8.36598825454712
6,6,24,24,20,18,24,30,28.0,17,4.198441982269287
24,24,6,6,24,30,20,18,28.0,17,4.198441982269287
14,30,31,11,24,1,16,23,34.0,23,3.7301931381225586
31,11,14,30,16,23,24,1,34.0,23,3.7301931381225586
23,14,15,27,10,20,13,13,16.5,18,1.6548480987548828
15,27,23,14,13,13,10,20,16.5,18,1.6548480987548828
