xs1,ys1,xg1,yg1,distance,replanning count,time
31,2,17,20,36,33,4.7379772663116455
6,30,15,27,12,12,1.5718519687652588
10,17,24,5,28,25,3.4801342487335205
26,9,6,11,28,28,3.3341991901397705
5,27,2,31,7,1,0.8449890613555908
13,10,27,7,17,15,2.253535032272339
26,20,12,12,26,25,3.2652299404144287
15,7,21,2,13,8,1.547313928604126
12,9,29,5,27,22,3.415386915206909
27,29,31,12,27,22,4.110099792480469
31,9,16,3,21,19,2.4832100868225098
6,11,25,15,27,25,3.2871580123901367
9,12,20,2,21,17,2.5114011764526367
0,21,17,24,26,23,3.0658469200134277
5,13,16,26,24,23,3.0790090560913086 
27,31,7,10,43,40,5.321314096450806
19,30,29,30,14,10,1.6916239261627197
1,29,29,7,50,46,6.187407970428467
7,25,23,20,25,24,3.071202278137207
6,27,29,27,39,31,4.679897785186768
3,13,2,3,11,6,1.2604262828826904
22,23,18,1,32,26,3.943578004837036
26,5,20,8,9,8,1.0779671669006348
2,26,12,28,28,20,3.405979871749878
17,3,23,22,27,25,3.5355100631713867
24,13,28,20,11,11,1.3538568019866943
22,21,21,1,25,21,3.114198923110962
18,9,4,9,18,16,2.2708990573883057
6,13,10,5,12,11,1.4456181526184082
30,0,18,29,49,43,6.473243951797485
14,7,19,23,27,26,3.3373403549194336
0,21,17,16,26,23,3.0484209060668945
17,9,24,23,23,23,2.7773659229278564
4,2,1,27,42,28,11.141694784164429
2,0,9,0,7,6,0.9275541305541992
7,21,1,20,9,7,1.276353120803833
21,29,14,15,23,22,3.196855068206787
18,21,27,24,14,12,1.8809847831726074
20,3,12,5,10,10,1.2995100021362305
25,1,25,26,33,30,4.450022220611572
7,1,24,4,24,21,3.744391918182373
29,18,6,20,39,37,7.891925096511841
11,25,1,12,27,22,5.171504974365234
3,8,21,17,27,27,3.670299768447876
3,7,20,10,22,21,2.7184970378875732
8,0,4,19,29,26,7.988232851028442
31,31,11,18,33,32,4.464217901229858
22,14,11,3,22,19,2.653794050216675
23,18,7,24,26,24,3.376990795135498
6,7,25,6,24,22,3.21285080909729
25,16,30,3,22,12,2.858651876449585
16,12,6,22,22,22,3.157665967941284
17,31,16,15,27,26,3.4892678260803223
16,8,24,5,11,11,1.3821771144866943
29,13,6,11,29,28,3.579313039779663
3,20,29,7,39,36,4.917396068572998
15,18,28,15,20,16,2.8479530811309814
4,17,5,28,20,15,2.717151165008545
29,12,31,16,6,5,0.739016056060791
3,15,15,4,25,22,3.1337389945983887
25,7,25,1,8,7,0.9392361640930176
1,9,5,20,19,19,2.334094762802124
21,5,14,1,11,11,1.283818006515503
12,2,23,4,15,14,1.7643332481384277
29,18,11,19,21,21,2.650681972503662
27,20,12,6,33,30,4.376086950302124
5,7,11,21,20,20,2.5239176750183105
11,0,18,27,42,35,5.578407049179077
31,10,6,7,36,28,4.5917909145355225
31,31,17,28,19,15,2.2127039432525635
15,8,3,18,22,20,2.6199569702148438
5,23,14,10,22,22,2.7318782806396484
3,12,16,5,22,19,2.681436061859131
17,11,12,19,13,13,1.5607688426971436
6,22,25,12,29,27,3.6881704330444336
7,16,18,7,20,19,2.400829315185547
13,17,4,28,20,14,2.4604268074035645
11,6,15,23,25,24,3.1230220794677734
23,27,5,20,29,27,3.52805495262146
16,12,1,5,26,21,3.147542953491211
25,23,10,16,22,21,2.735795021057129
7,22,5,10,20,19,2.7952828407287598
19,26,26,10,25,23,3.2609851360321045
31,2,3,30,56,46,7.159362077713013
7,17,31,26,35,29,4.4415411949157715
9,9,6,22,22,19,2.612851858139038
21,12,28,19,14,13,1.6572120189666748
31,0,20,16,27,27,3.191030979156494
22,12,1,0,33,24,4.0413899421691895
8,10,5,21,18,17,2.240135908126831
8,28,19,2,41,37,5.100768804550171
10,29,11,5,29,28,3.6086971759796143
4,10,26,24,38,35,4.686055898666382
9,5,14,14,14,14,1.7082929611206055
4,15,3,30,28,18,3.8423960208892822
9,27,7,21,20,18,2.7871108055114746
2,9,15,27,31,30,3.8144381046295166
1,9,14,4,20,15,2.318556785583496
19,3,25,2,9,8,1.02976393699646
16,25,9,15,17,17,2.0678598880767822
5,9,15,9,12,11,1.4341561794281006
6,26,3,11,22,19,2.634478807449341
16,31,17,15,25,23,3.0294933319091797
19,12,14,25,22,20,2.727952003479004
23,4,18,26,35,30,4.835489988327026
18,30,27,4,37,33,4.432698965072632
6,9,13,16,14,14,1.6692469120025635
