xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
8,27,5,13,21,1,28,2,13.5,11,0.9466729164123535
5,13,8,27,28,2,21,1,13.5,11,0.9466729164123535
17,13,1,16,11,9,15,24,20.0,10,1.2821731567382812
1,16,17,13,15,24,11,9,20.0,10,1.2821731567382812
26,22,2,20,24,8,4,12,27.0,20,1.714756727218628
2,20,26,22,4,12,24,8,27.0,20,1.714756727218628
11,18,6,8,19,9,24,30,20.5,15,1.4094719886779785
6,8,11,18,24,30,19,9,20.5,15,1.4094719886779785
0,29,24,23,20,0,11,15,28.0,19,1.7723379135131836
24,23,0,29,11,15,20,0,28.0,19,1.7723379135131836
22,29,11,26,10,29,11,8,19.0,16,1.2935481071472168
11,26,22,29,11,8,10,29,19.0,16,1.2935481071472168
14,18,5,8,13,27,5,13,20.5,10,1.2048399448394775
5,8,14,18,5,13,13,27,20.5,10,1.2048399448394775
11,12,23,13,13,24,2,12,18.0,9,1.2248549461364746
23,13,11,12,2,12,13,24,18.0,9,1.2248549461364746
26,3,6,18,22,4,24,3,19.0,14,1.8143630027770996
6,18,26,3,24,3,22,4,19.0,14,1.8143630027770996
4,8,6,14,8,10,31,12,16.5,18,1.3314762115478516
6,14,4,8,31,12,8,10,16.5,18,1.3314762115478516
5,3,26,6,31,5,13,18,28.5,16,1.9711217880249023
26,6,5,3,13,18,31,5,28.5,16,1.9711217880249023
3,7,21,20,26,26,19,9,27.5,14,1.8759629726409912
21,20,3,7,19,9,26,26,27.5,14,1.8759629726409912
18,10,26,2,14,18,0,5,21.5,12,1.5810308456420898
26,2,18,10,0,5,14,18,21.5,12,1.5810308456420898
6,1,9,22,5,29,10,15,22.5,9,1.636286973953247
9,22,6,1,10,15,5,29,22.5,9,1.636286973953247
3,1,28,14,29,16,24,31,29.0,16,2.1808969974517822
28,14,3,1,24,31,29,16,29.0,16,2.1808969974517822
0,22,3,24,10,26,14,5,17.0,13,1.781540870666504
3,24,0,22,14,5,10,26,17.0,13,1.781540870666504
9,18,19,1,21,24,2,5,32.5,14,2.1398520469665527
19,1,9,18,2,5,21,24,32.5,14,2.1398520469665527
7,19,13,8,4,25,31,14,27.5,20,2.109367847442627
13,8,7,19,31,14,4,25,27.5,20,2.109367847442627
18,16,17,31,28,28,5,1,33.0,14,2.794705867767334
17,31,18,16,5,1,28,28,33.0,14,2.794705867767334
8,22,30,31,24,26,20,18,21.5,4,1.7178287506103516
30,31,8,22,20,18,24,26,21.5,4,1.7178287506103516
8,10,19,20,29,15,3,14,25.0,16,1.9258558750152588
19,20,8,10,3,14,29,15,25.0,16,1.9258558750152588
14,22,19,15,30,3,21,0,12.0,8,0.6916971206665039
19,15,14,22,21,0,30,3,12.0,8,0.6916971206665039
6,24,8,12,13,24,22,26,12.5,11,0.8028817176818848
8,12,6,24,22,26,13,24,12.5,11,0.8028817176818848
5,31,16,12,0,3,11,12,25.0,15,1.7554669380187988
16,12,5,31,11,12,0,3,25.0,15,1.7554669380187988
30,14,19,21,2,11,18,16,19.5,14,1.2300868034362793
19,21,30,14,18,16,2,11,19.5,14,1.2300868034362793
22,27,25,27,28,30,25,15,10.5,6,0.9359431266784668
25,27,22,27,25,15,28,30,10.5,6,0.9359431266784668
28,7,30,30,15,11,28,18,24.5,12,1.6882357597351074
30,30,28,7,28,18,15,11,24.5,12,1.6882357597351074
5,27,20,29,13,31,11,20,15.0,9,0.8908069133758545
20,29,5,27,11,20,13,31,15.0,9,0.8908069133758545
0,6,27,15,17,14,18,21,22.0,11,1.8679320812225342
27,15,0,6,18,21,17,14,22.0,11,1.8679320812225342
12,5,21,4,15,7,22,1,11.5,5,0.6629178524017334
21,4,12,5,22,1,15,7,11.5,5,0.6629178524017334
29,5,0,0,7,5,5,2,19.5,7,1.842480182647705
0,0,29,5,5,2,7,5,19.5,7,1.842480182647705
25,11,12,5,2,30,1,19,15.5,13,1.0010228157043457
12,5,25,11,1,19,2,30,15.5,13,1.0010228157043457
16,26,5,13,3,22,24,29,27.0,12,1.6698827743530273
5,13,16,26,24,29,3,22,27.0,12,1.6698827743530273
12,7,4,7,6,3,18,11,14.0,6,1.0593647956848145
4,7,12,7,18,11,6,3,14.0,6,1.0593647956848145
22,29,6,14,0,11,17,14,26.5,12,1.9119820594787598
6,14,22,29,17,14,0,11,26.5,12,1.9119820594787598
11,8,25,9,24,2,13,20,23.0,14,1.7833948135375977
25,9,11,8,13,20,24,2,23.0,14,1.7833948135375977
